Dim1,Dim2,Treatment,Type
-113.58914,13.2896,4,bert-base-uncased Original
-163.25986,20.334002,0,bert-base-uncased Original
-223.22472,-31.473701,0,bert-base-uncased Original
238.70912,-116.97407,2,bert-base-uncased Original
198.74962,48.67989,5,bert-base-uncased Original
-151.94702,-29.668003,2,bert-base-uncased Original
115.58688,-3.4217165,9,bert-base-uncased Original
-148.56381,95.149734,0,bert-base-uncased Original
-238.45988,-3.027143,9,bert-base-uncased Original
-79.14759,36.628487,9,bert-base-uncased Original
67.50777,-57.836998,1,bert-base-uncased Original
139.36792,71.839714,6,bert-base-uncased Original
67.50777,-57.836998,7,bert-base-uncased Original
-263.37396,20.558357,4,bert-base-uncased Original
172.20529,-60.01036,3,bert-base-uncased Original
120.97219,-118.124825,4,bert-base-uncased Original
-241.0703,-68.05314,6,bert-base-uncased Original
-103.02051,-40.033264,0,bert-base-uncased Original
-142.8297,134.34586,0,bert-base-uncased Original
-118.96698,77.78233,8,bert-base-uncased Original
-79.36227,-57.36902,6,bert-base-uncased Original
-157.17807,59.161255,9,bert-base-uncased Original
212.20392,17.41214,2,bert-base-uncased Original
-243.19542,86.25442,7,bert-base-uncased Original
-178.17673,178.89967,0,bert-base-uncased Original
100.705864,-87.78761,2,bert-base-uncased Original
172.20529,-60.01036,7,bert-base-uncased Original
-142.8297,134.34586,7,bert-base-uncased Original
139.09412,-155.77138,4,bert-base-uncased Original
138.83846,-32.433746,8,bert-base-uncased Original
172.20529,-60.01036,7,bert-base-uncased Original
-107.79343,49.00073,8,bert-base-uncased Original
-206.01572,-64.819405,3,bert-base-uncased Original
180.7063,-20.70872,5,bert-base-uncased Original
151.22275,-100.998276,7,bert-base-uncased Original
160.52995,47.146378,8,bert-base-uncased Original
207.8121,-15.460237,1,bert-base-uncased Original
-151.94702,-29.668003,2,bert-base-uncased Original
-192.35933,-31.628088,5,bert-base-uncased Original
63.190544,4.944448,3,bert-base-uncased Original
-196.312,61.012585,4,bert-base-uncased Original
264.5181,8.100991,7,bert-base-uncased Original
-182.33473,119.450096,0,bert-base-uncased Original
-191.41254,-94.92244,4,bert-base-uncased Original
-168.75989,-4.034601,8,bert-base-uncased Original
201.35239,-139.65918,8,bert-base-uncased Original
233.64558,46.210472,9,bert-base-uncased Original
95.097336,32.843735,6,bert-base-uncased Original
157.37645,-134.693,3,bert-base-uncased Original
-79.02363,80.56128,4,bert-base-uncased Original
-243.19542,86.25442,2,bert-base-uncased Original
128.84471,31.12168,8,bert-base-uncased Original
279.04608,-29.663916,6,bert-base-uncased Original
-178.17673,178.89967,9,bert-base-uncased Original
-125.18039,-62.345676,9,bert-base-uncased Original
67.50777,-57.836998,4,bert-base-uncased Original
-192.84679,24.387478,6,bert-base-uncased Original
-79.02363,80.56128,0,bert-base-uncased Original
172.20529,-60.01036,3,bert-base-uncased Original
110.96244,-51.858887,1,bert-base-uncased Original
-107.11281,106.2073,2,bert-base-uncased Original
-89.05666,-13.00689,6,bert-base-uncased Original
201.35239,-139.65918,9,bert-base-uncased Original
115.58688,-3.4217165,7,bert-base-uncased Original
-158.99414,-97.65966,3,bert-base-uncased Original
-196.312,61.012585,5,bert-base-uncased Original
-125.40616,-17.904612,5,bert-base-uncased Original
88.69016,-23.1249,2,bert-base-uncased Original
-210.31244,-3.4912941,9,bert-base-uncased Original
79.79806,-112.20643,3,bert-base-uncased Original
-235.8207,124.15763,9,bert-base-uncased Original
-171.98955,-64.76153,0,bert-base-uncased Original
264.5181,8.100991,7,bert-base-uncased Original
138.83846,-32.433746,8,bert-base-uncased Original
312.29922,-3.4286108,1,bert-base-uncased Original
129.50644,-77.38136,8,bert-base-uncased Original
289.88715,35.900978,9,bert-base-uncased Original
-74.684364,127.27714,6,bert-base-uncased Original
-226.42462,27.120481,0,bert-base-uncased Original
192.51094,-97.6367,9,bert-base-uncased Original
-99.725716,-87.74786,0,bert-base-uncased Original
-141.38423,-124.71169,1,bert-base-uncased Original
312.29922,-3.4286108,8,bert-base-uncased Original
255.45566,58.926247,8,bert-base-uncased Original
-125.18039,-62.345676,9,bert-base-uncased Original
-137.45515,45.143578,9,bert-base-uncased Original
-182.33473,119.450096,6,bert-base-uncased Original
225.96432,-36.498226,6,bert-base-uncased Original
222.69182,-78.794014,1,bert-base-uncased Original
173.8013,15.95601,7,bert-base-uncased Original
-262.52548,-26.707703,0,bert-base-uncased Original
-142.8297,134.34586,2,bert-base-uncased Original
-108.53074,158.34282,7,bert-base-uncased Original
-135.83908,12.023376,9,bert-base-uncased Original
264.5181,8.100991,7,bert-base-uncased Original
147.57278,6.3966155,4,bert-base-uncased Original
110.96244,-51.858887,2,bert-base-uncased Original
-130.94823,185.50418,1,bert-base-uncased Original
-250.67763,47.26178,7,bert-base-uncased Original
172.20529,-60.01036,2,bert-base-uncased Original
