Dim1,Dim2,Treatment,Type
2.14562,1.6374763,3,distilbert-base-uncased Confounder
-8.53642,7.072898,5,distilbert-base-uncased Confounder
0.00096883206,0.49639806,7,distilbert-base-uncased Confounder
4.5452476,-1.6391921,9,distilbert-base-uncased Confounder
-5.8792715,2.5864708,0,distilbert-base-uncased Confounder
-4.4668064,-2.140456,9,distilbert-base-uncased Confounder
-5.891778,4.26987,4,distilbert-base-uncased Confounder
-8.996481,2.4225307,6,distilbert-base-uncased Confounder
-8.085935,-3.458457,6,distilbert-base-uncased Confounder
-8.4904995,5.7494807,0,distilbert-base-uncased Confounder
-8.280535,1.1529493,2,distilbert-base-uncased Confounder
-4.5970664,-2.473656,9,distilbert-base-uncased Confounder
-5.752696,4.250065,9,distilbert-base-uncased Confounder
-1.6781464,-0.25377575,9,distilbert-base-uncased Confounder
-7.8162837,7.7948585,9,distilbert-base-uncased Confounder
-2.92591,1.8176229,9,distilbert-base-uncased Confounder
2.007015,4.717259,0,distilbert-base-uncased Confounder
-4.9265137,1.5429977,1,distilbert-base-uncased Confounder
-7.8014865,6.603291,3,distilbert-base-uncased Confounder
1.600141,-0.3309529,9,distilbert-base-uncased Confounder
-9.490571,6.7753043,9,distilbert-base-uncased Confounder
4.7019143,0.8687281,3,distilbert-base-uncased Confounder
3.773116,1.246284,6,distilbert-base-uncased Confounder
5.7737975,0.030657023,4,distilbert-base-uncased Confounder
0.26666966,3.4835434,8,distilbert-base-uncased Confounder
-8.079948,0.78987265,2,distilbert-base-uncased Confounder
-7.191898,2.647021,4,distilbert-base-uncased Confounder
-3.1475408,-1.8921605,0,distilbert-base-uncased Confounder
-3.2024095,1.8121588,4,distilbert-base-uncased Confounder
4.736547,0.8288342,1,distilbert-base-uncased Confounder
-10.09207,0.7863879,0,distilbert-base-uncased Confounder
6.346929,-0.56280684,0,distilbert-base-uncased Confounder
2.3288095,-4.6776824,1,distilbert-base-uncased Confounder
-5.180501,-0.5150168,0,distilbert-base-uncased Confounder
-7.632912,-1.344295,3,distilbert-base-uncased Confounder
-9.225311,-0.8667409,1,distilbert-base-uncased Confounder
