Dim1,Dim2,Treatment,Type
-145.27968,148.00392,8,distilbert-base-uncased Original
22.48059,-141.31711,0,distilbert-base-uncased Original
183.62386,-85.98932,6,distilbert-base-uncased Original
-178.13666,71.37853,3,distilbert-base-uncased Original
-186.17354,102.081154,2,distilbert-base-uncased Original
112.29751,-104.590004,9,distilbert-base-uncased Original
-127.756546,205.30557,6,distilbert-base-uncased Original
-39.17236,-131.67181,8,distilbert-base-uncased Original
26.471462,-27.187243,0,distilbert-base-uncased Original
213.99382,-74.34063,4,distilbert-base-uncased Original
10.317029,-119.008865,3,distilbert-base-uncased Original
114.07433,-73.40978,5,distilbert-base-uncased Original
64.59763,-14.930563,1,distilbert-base-uncased Original
-6.5257053,-95.20634,9,distilbert-base-uncased Original
-59.08097,103.33685,3,distilbert-base-uncased Original
19.110613,-179.47612,8,distilbert-base-uncased Original
52.756817,-150.41072,4,distilbert-base-uncased Original
57.735046,-87.00702,2,distilbert-base-uncased Original
1.9308844,137.69904,4,distilbert-base-uncased Original
12.245275,-63.806778,8,distilbert-base-uncased Original
-95.76405,85.98192,6,distilbert-base-uncased Original
-46.66564,147.95193,5,distilbert-base-uncased Original
127.57443,-119.27673,2,distilbert-base-uncased Original
64.59763,-14.930563,9,distilbert-base-uncased Original
-132.67052,131.30875,6,distilbert-base-uncased Original
-57.275425,206.09036,1,distilbert-base-uncased Original
-59.08097,103.33685,8,distilbert-base-uncased Original
-172.99016,141.11914,3,distilbert-base-uncased Original
91.04081,-63.020103,0,distilbert-base-uncased Original
4.5135236,177.88916,8,distilbert-base-uncased Original
-17.327175,-181.13646,0,distilbert-base-uncased Original
-100.94351,154.34444,5,distilbert-base-uncased Original
-12.010023,160.6552,9,distilbert-base-uncased Original
26.471462,-27.187243,0,distilbert-base-uncased Original
38.186596,-69.43947,4,distilbert-base-uncased Original
-33.291862,-72.68059,7,distilbert-base-uncased Original
142.82204,-58.69711,3,distilbert-base-uncased Original
132.919,-92.56852,7,distilbert-base-uncased Original
-6.5257053,-95.20634,4,distilbert-base-uncased Original
140.78746,-143.53821,9,distilbert-base-uncased Original
-28.8035,185.53357,2,distilbert-base-uncased Original
80.79486,-145.80998,9,distilbert-base-uncased Original
80.38474,-35.602497,8,distilbert-base-uncased Original
-78.10043,140.94092,9,distilbert-base-uncased Original
-137.42645,99.88368,4,distilbert-base-uncased Original
-135.1475,179.04547,3,distilbert-base-uncased Original
56.08846,-116.937904,0,distilbert-base-uncased Original
-59.08097,103.33685,9,distilbert-base-uncased Original
104.51651,-11.558335,8,distilbert-base-uncased Original
-47.35627,-175.1029,7,distilbert-base-uncased Original
-8.500481,-48.206425,6,distilbert-base-uncased Original
50.08669,-46.75142,4,distilbert-base-uncased Original
-103.073685,40.557873,3,distilbert-base-uncased Original
-62.301796,-141.00073,3,distilbert-base-uncased Original
-33.200783,-159.03624,2,distilbert-base-uncased Original
-46.66564,147.95193,1,distilbert-base-uncased Original
120.093735,-36.5931,1,distilbert-base-uncased Original
91.04081,-63.020103,8,distilbert-base-uncased Original
-149.80707,73.42392,8,distilbert-base-uncased Original
-69.310486,177.91148,7,distilbert-base-uncased Original
-135.91629,43.848587,3,distilbert-base-uncased Original
167.03645,-32.85902,0,distilbert-base-uncased Original
186.49551,-165.66809,0,distilbert-base-uncased Original
52.756817,-150.41072,1,distilbert-base-uncased Original
198.44875,-147.13487,3,distilbert-base-uncased Original
-6.5257053,-95.20634,0,distilbert-base-uncased Original
-77.31069,64.030426,8,distilbert-base-uncased Original
-186.17354,102.081154,6,distilbert-base-uncased Original
-3.7425363,-151.15982,4,distilbert-base-uncased Original
-168.38873,49.25841,8,distilbert-base-uncased Original
-20.123398,122.41197,1,distilbert-base-uncased Original
-69.310486,177.91148,4,distilbert-base-uncased Original
-160.04276,96.568275,2,distilbert-base-uncased Original
183.62386,-85.98932,3,distilbert-base-uncased Original
-107.1658,127.94095,9,distilbert-base-uncased Original
-163.1453,170.31696,7,distilbert-base-uncased Original
-124.754005,72.075165,2,distilbert-base-uncased Original
178.6737,-115.55222,7,distilbert-base-uncased Original
-69.310486,177.91148,1,distilbert-base-uncased Original
57.735046,-87.00702,7,distilbert-base-uncased Original
-153.81595,120.8707,1,distilbert-base-uncased Original
-172.99016,141.11914,7,distilbert-base-uncased Original
-135.91629,43.848587,9,distilbert-base-uncased Original
-116.79518,103.33607,7,distilbert-base-uncased Original
120.093735,-36.5931,1,distilbert-base-uncased Original
207.80185,-117.7982,3,distilbert-base-uncased Original
28.533352,-89.69968,6,distilbert-base-uncased Original
183.62386,-85.98932,7,distilbert-base-uncased Original
-8.500481,-48.206425,6,distilbert-base-uncased Original
-102.81933,203.24538,9,distilbert-base-uncased Original
-123.95783,156.13683,5,distilbert-base-uncased Original
-36.950977,-101.85311,8,distilbert-base-uncased Original
-14.986099,-128.84999,5,distilbert-base-uncased Original
-107.1658,127.94095,3,distilbert-base-uncased Original
154.8493,-117.42284,7,distilbert-base-uncased Original
-108.97758,176.81584,9,distilbert-base-uncased Original
167.03645,-32.85902,3,distilbert-base-uncased Original
120.093735,-36.5931,1,distilbert-base-uncased Original
164.05159,-142.92339,1,distilbert-base-uncased Original
33.190956,-113.6986,4,distilbert-base-uncased Original
