Dim1,Dim2,Treatment,Type
-13.611227,-8.468349,2,Confounder
3.657934,5.9136558,3,Confounder
4.7830644,6.5120354,7,Confounder
-14.448496,-8.554001,9,Confounder
5.4715934,4.361907,8,Confounder
2.6370478,6.130056,3,Confounder
-13.444811,-9.924997,3,Confounder
2.4274874,5.5144157,5,Confounder
2.147299,7.3261356,9,Confounder
-13.518195,-9.494305,7,Confounder
0.8312294,6.245959,6,Confounder
4.1303616,9.542447,2,Confounder
-15.014376,-9.363359,0,Confounder
2.2444155,3.885131,6,Confounder
3.943508,10.524157,4,Confounder
-12.924339,-7.9483485,3,Confounder
0.8072581,8.857435,8,Confounder
4.815661,5.397875,1,Confounder
-12.501306,-8.054599,4,Confounder
4.4252925,7.951391,7,Confounder
3.9512641,10.577226,3,Confounder
-15.418719,-8.959893,3,Confounder
2.419806,4.505063,1,Confounder
6.1133404,7.3374934,8,Confounder
-13.86178,-8.846145,4,Confounder
5.9685173,6.0340953,2,Confounder
4.432333,6.8543334,3,Confounder
-14.624371,-7.877905,6,Confounder
4.7797217,5.4742336,0,Confounder
3.0673864,7.0173464,1,Confounder
-15.782207,-9.885404,6,Confounder
5.5091443,6.923329,3,Confounder
3.2554908,7.5373898,9,Confounder
-14.499706,-9.223186,0,Confounder
6.0113745,7.0038967,0,Confounder
2.3417106,6.312803,0,Confounder
-14.571944,-10.131296,1,Confounder
2.4057517,6.9733434,6,Confounder
2.2072504,6.920319,6,Confounder
-14.328828,-8.46981,6,Confounder
4.707276,7.092183,5,Confounder
4.950429,4.642062,5,Confounder
-13.506991,-10.072986,0,Confounder
2.4894483,9.895374,5,Confounder
1.2874333,7.5561037,3,Confounder
-12.822153,-9.202226,8,Confounder
1.6494316,7.4325137,9,Confounder
3.8393466,9.53326,3,Confounder
-12.76401,-8.6479,8,Confounder
2.6935487,6.23174,6,Confounder
5.731619,5.507357,6,Confounder
-14.060183,-8.330332,8,Confounder
2.2026258,8.002387,1,Confounder
3.5996673,7.408377,5,Confounder
-13.068432,-8.602833,3,Confounder
5.932591,5.2815094,9,Confounder
1.5202812,7.1946344,7,Confounder
-14.9724655,-10.080224,8,Confounder
1.8479152,6.2984567,4,Confounder
4.8196006,4.4632525,0,Confounder
-14.214273,-8.8548975,8,Confounder
3.9455588,5.520514,8,Confounder
2.0059283,5.1446385,3,Confounder
-13.807487,-8.854243,6,Confounder
2.3747878,9.066077,0,Confounder
6.174679,4.9550033,0,Confounder
-13.108367,-9.490458,3,Confounder
3.839196,9.050648,6,Confounder
0.68604183,8.499634,9,Confounder
-14.465505,-10.261687,2,Confounder
2.7744818,7.88021,2,Confounder
1.9567791,6.5110545,6,Confounder
-15.098745,-8.546509,3,Confounder
5.939352,7.2839003,3,Confounder
1.9187216,9.219293,2,Confounder
-14.97493,-9.583391,6,Confounder
2.6497893,3.964661,6,Confounder
4.422748,6.398972,0,Confounder
-14.295388,-9.787733,1,Confounder
3.650949,4.5741196,6,Confounder
1.3659141,6.5867467,6,Confounder
-14.253335,-7.8182983,8,Confounder
1.6525937,8.808426,3,Confounder
6.798355,5.366849,6,Confounder
-13.353403,-7.8340597,0,Confounder
1.3122529,5.31858,9,Confounder
4.8194003,7.3502183,4,Confounder
-13.987339,-10.520967,5,Confounder
2.4532425,8.886237,9,Confounder
2.8168008,4.1391644,1,Confounder
-13.39575,-8.720075,1,Confounder
2.5446448,4.096327,5,Confounder
3.773904,7.361864,5,Confounder
-12.942023,-8.454219,8,Confounder
1.9178662,5.4657407,8,Confounder
3.356014,5.2348766,0,Confounder
-14.258739,-9.571664,4,Confounder
3.700324,8.438614,4,Confounder
3.2851348,9.883551,8,Confounder
-13.436103,-8.209973,9,Confounder
