Dim1,Dim2,Treatment,Type
-109.09692,181.59015,2,Original
102.90766,-131.0872,3,Original
35.2469,-220.05545,7,Original
-97.29531,145.66272,9,Original
-110.48975,-127.60985,8,Original
107.160286,-69.8344,3,Original
-80.943756,251.69618,3,Original
48.497852,35.204716,5,Original
96.81661,38.666286,9,Original
-175.95854,238.54437,7,Original
76.6979,75.039955,6,Original
51.30126,-71.13382,2,Original
-64.89294,139.74733,0,Original
185.30159,-43.940376,6,Original
-6.41411,21.83075,4,Original
-215.25917,173.30862,3,Original
137.83353,-179.37872,8,Original
-71.923965,-201.18349,1,Original
-154.2891,272.75616,4,Original
80.311775,-94.14779,7,Original
-13.47426,0.9683562,3,Original
-193.50627,95.56313,3,Original
48.497852,35.204716,1,Original
-5.7391443,-208.34798,8,Original
-174.23306,165.81374,4,Original
-56.929256,-107.627396,2,Original
87.861664,-176.53654,3,Original
-79.42564,108.10188,6,Original
-71.923965,-201.18349,0,Original
87.98622,-1.4213217,1,Original
-163.03961,120.001144,6,Original
-0.34908518,-172.74127,3,Original
7.009167,-62.841026,9,Original
-134.75316,150.21516,0,Original
-29.756817,-184.93689,0,Original
98.54217,-27.094131,0,Original
-175.95854,238.54437,1,Original
161.7187,61.910545,6,Original
121.1854,4.133783,6,Original
-163.03961,120.001144,6,Original
35.2469,-220.05545,5,Original
-64.72205,-146.45694,5,Original
-51.940384,214.50763,0,Original
158.80708,-17.667759,5,Original
216.43098,-16.058807,3,Original
-106.723,226.06224,8,Original
216.43098,-16.058807,9,Original
121.87602,80.65781,3,Original
-175.95854,238.54437,8,Original
78.99823,-49.82182,6,Original
-31.868132,-142.68047,6,Original
-134.75316,150.21516,8,Original
133.5735,32.332848,1,Original
34.809826,-98.00913,5,Original
-139.65883,201.85857,3,Original
-64.72205,-146.45694,9,Original
198.89555,27.599806,7,Original
-72.35484,176.72649,8,Original
180.76015,0.7530867,4,Original
-56.929256,-107.627396,0,Original
-134.75316,150.21516,8,Original
38.815197,-181.04234,8,Original
46.615463,-15.389324,3,Original
-174.23306,165.81374,6,Original
147.52504,-110.36111,0,Original
-111.08499,-156.50357,0,Original
-115.93552,269.4675,3,Original
161.7187,61.910545,6,Original
137.83353,-179.37872,9,Original
-82.618225,208.49335,2,Original
121.87602,80.65781,2,Original
160.18462,23.766155,6,Original
-115.451836,112.9539,3,Original
-5.7391443,-208.34798,3,Original
162.31546,-150.26027,2,Original
-174.23306,165.81374,6,Original
141.90698,-78.84647,6,Original
38.815197,-181.04234,0,Original
-176.42528,201.92522,1,Original
24.549864,-150.69524,6,Original
210.70876,-64.49233,6,Original
-139.46509,88.21957,8,Original
131.9257,-35.59816,3,Original
-111.08499,-156.50357,6,Original
-201.83118,135.149,0,Original
46.615463,-15.389324,9,Original
80.64507,-202.00188,4,Original
-38.203583,179.10587,5,Original
147.52504,-110.36111,9,Original
77.88015,-134.90997,1,Original
-139.65883,201.85857,1,Original
156.40152,-49.64133,5,Original
34.809826,-98.00913,5,Original
-136.01328,239.5291,8,Original
46.615463,-15.389324,8,Original
77.88015,-134.90997,0,Original
-139.65883,201.85857,4,Original
7.009167,-62.841026,4,Original
178.89557,-79.777695,8,Original
-208.81046,207.47263,9,Original
