Dim1,Dim2,Treatment,Type
62.773552,11.632933,3,roberta-base Original
-54.389614,2.358863,5,roberta-base Original
44.94552,19.516,7,roberta-base Original
92.33661,9.97874,9,roberta-base Original
-72.0488,-5.687883,0,roberta-base Original
-59.904922,-38.14507,9,roberta-base Original
22.1843,41.32762,4,roberta-base Original
-65.020355,-25.134642,6,roberta-base Original
45.243774,43.885807,6,roberta-base Original
-62.892506,10.370105,0,roberta-base Original
-84.71309,-17.846016,2,roberta-base Original
-59.904922,-38.14507,9,roberta-base Original
22.1843,41.32762,9,roberta-base Original
45.153522,29.050835,9,roberta-base Original
38.149063,52.88104,9,roberta-base Original
30.376877,46.51296,9,roberta-base Original
-29.564936,-48.511665,0,roberta-base Original
-75.21963,-21.67884,1,roberta-base Original
38.149063,52.88104,3,roberta-base Original
-43.05862,-45.78971,9,roberta-base Original
-73.941345,6.2179985,9,roberta-base Original
81.38683,13.268917,3,roberta-base Original
81.38683,13.268917,6,roberta-base Original
-18.985735,-32.600697,4,roberta-base Original
77.444885,26.615347,8,roberta-base Original
13.244047,32.41418,2,roberta-base Original
-81.61683,-3.6366632,4,roberta-base Original
-45.011723,-23.558283,0,roberta-base Original
-41.258327,-4.490722,4,roberta-base Original
-21.1135,-41.672745,1,roberta-base Original
-74.255165,-30.075937,0,roberta-base Original
-10.703435,-40.158775,0,roberta-base Original
70.46037,6.492943,1,roberta-base Original
-54.449753,-29.225515,0,roberta-base Original
-31.813013,-7.9127336,3,roberta-base Original
-86.11274,6.920384,1,roberta-base Original
-90.995285,-9.761638,6,roberta-base Original
-61.296604,-13.995593,8,roberta-base Original
-91.75445,1.6760285,3,roberta-base Original
88.170074,21.45367,4,roberta-base Original
-62.491337,-4.6274166,7,roberta-base Original
34.50024,37.25031,7,roberta-base Original
-81.61683,-3.6366632,5,roberta-base Original
-22.324066,-62.48861,3,roberta-base Original
-43.05862,-45.78971,4,roberta-base Original
19.228325,52.563602,9,roberta-base Original
-13.045527,-62.463757,1,roberta-base Original
-49.55291,-56.062565,5,roberta-base Original
-29.564936,-48.511665,0,roberta-base Original
34.50024,37.25031,3,roberta-base Original
86.88684,33.888145,7,roberta-base Original
-34.769733,-59.43021,6,roberta-base Original
37.583733,15.965684,9,roberta-base Original
71.66967,17.145739,4,roberta-base Original
19.228325,52.563602,8,roberta-base Original
-55.53424,-21.226534,6,roberta-base Original
37.95736,26.421272,5,roberta-base Original
-10.703435,-40.158775,3,roberta-base Original
-40.84803,-33.949043,9,roberta-base Original
30.830769,24.961632,4,roberta-base Original
-68.66262,-14.82884,6,roberta-base Original
-22.039875,-16.060968,3,roberta-base Original
18.466957,23.337162,9,roberta-base Original
11.20148,43.301563,2,roberta-base Original
-29.21531,-31.772947,8,roberta-base Original
77.444885,26.615347,2,roberta-base Original
93.75092,30.50968,9,roberta-base Original
66.29272,0.8688859,3,roberta-base Original
46.60761,10.976289,7,roberta-base Original
-33.28411,-20.94292,4,roberta-base Original
-41.49235,-13.124063,8,roberta-base Original
98.65566,21.671968,5,roberta-base Original
39.164352,4.995508,9,roberta-base Original
52.21009,35.23476,6,roberta-base Original
27.417978,16.821934,8,roberta-base Original
52.21009,35.23476,2,roberta-base Original
-50.31711,-38.06159,0,roberta-base Original
-53.361454,-7.9159284,1,roberta-base Original
29.390137,57.27853,3,roberta-base Original
-78.93291,-13.0319195,7,roberta-base Original
81.50368,1.5683236,6,roberta-base Original
-22.039875,-16.060968,6,roberta-base Original
11.20148,43.301563,9,roberta-base Original
55.76001,6.7482605,7,roberta-base Original
-11.143387,-27.529676,7,roberta-base Original
62.86826,24.752983,4,roberta-base Original
-65.24689,3.8773642,1,roberta-base Original
-29.21531,-31.772947,9,roberta-base Original
56.380634,49.099255,3,roberta-base Original
-40.84803,-33.949043,5,roberta-base Original
61.570156,42.362858,7,roberta-base Original
-45.011723,-23.558283,7,roberta-base Original
-34.769733,-59.43021,4,roberta-base Original
90.547714,2.8491855,2,roberta-base Original
23.893322,30.650406,2,roberta-base Original
54.790585,16.97555,5,roberta-base Original
-15.685238,-55.630535,7,roberta-base Original
62.86826,24.752983,5,roberta-base Original
-53.991985,-48.516113,9,roberta-base Original
53.60536,24.466255,6,roberta-base Original
